Species,Region,Count
ACT flea iflavirus,Oceans and Seas,2
ANAJ Hantavirus,South America,1
ANMV-1 virus,Unknown,69
APSE phage Eptesicus fuscus/P5/IT/USA/2009,North America,1
Aalivirus A,Asia,3
Abaca bunchy top virus,Asia,18
Abakapovirus asiadaptatum,North America,3
Abakapovirus humadaptatum,North America,3
Abakapovirus humenecus,North America,3
Abakapovirus humicola,North America,3
Abalone asfa-like virus,Asia,159
Abalone herpesvirus Taiwan/2004,Asia,33
Abalone herpesvirus Taiwan/2005,Asia,66
Abalone herpesvirus type 2 Taiwan/2007,Asia,1
Abalone shriveling syndrome-associated virus,Asia,62
Abatino macacapox virus,Europa,416
Abdera bunya-like virus,Europa,1
Abisko virus,Europa,10
Abras orthobunyavirus,South America,6
Abu Hammad orthonairovirus,Africa,3
Abu Mina orthonairovirus,Africa,3
Abutilon Brazil virus,South America,14
Abutilon golden mosaic virus,North America,10
Abutilon mosaic Bolivia virus,South America,14
Abutilon mosaic Brazil virus,South America,26
Abutilon mosaic virus,Africa,2
Abutilon mosaic virus,Asia,20
Abutilon mosaic virus,Europa,14
Abutilon mosaic virus,Oceans and Seas,2
Abutilon mosaic virus,South America,1
Academ virus,Europa,2
Acalypha yellow mosaic Siliguri virus,Asia,4
Acalypha yellow mosaic virus,Asia,3
Acanthamoeba castellanii mamavirus,Europa,991
Acanthamoeba castellanii medusavirus,Asia,429
Acanthamoeba polyphaga lentillevirus,Europa,807
Acanthamoeba polyphaga mimivirus,Asia,898
Acanthamoeba polyphaga mimivirus,Europa,1
Acanthamoeba polyphaga mimivirus,South America,6031
Acanthis flammea CRESS-DNA-virus sp.,Asia,1
Acanthocystis turfacea chlorella virus 1,Europa,1720
Acanthurus bariene nervous necrosis virus,Asia,1
Acanthurus dussumieri iridovirus,Asia,1
Acara orthobunyavirus,North America,3
Acara orthobunyavirus,South America,3
Acartia tonsa copepod circovirus,North America,4
Acaryochloris phage A-HIS1,Oceans and Seas,95
Acaryochloris phage A-HIS2,Oceans and Seas,104
Accipiter gentilis Genomoviridae sp.,Asia,2
Accipiter gentilis ambidensovirus,Asia,4
Accipiter gentilis parvo-like hybrid virus,Asia,2
Accipiter gentilis parvoviridae sp.,Asia,1
Acerodon celebensis polyomavirus 1,Asia,8
Acerodon celebensis polyomavirus 2,Asia,8
Acetes erythraeus iridovirus,Africa,1
Achaea janata granulovirus,Asia,6
Acheta domesticus Iflavirus,Europa,2
Acheta domesticus virus,North America,1
Acheta domesticus volvovirus,Asia,13
Acheta domesticus volvovirus,North America,8
Achimota pararubulavirus 1,Africa,16
Achimota pararubulavirus 2,Africa,16
Achimota pararubulavirus 3,Africa,8
Achlievirus humihabitans,North America,3
