,Taxonomy,Country,Cumulative_Count,Count
0,ACT flea iflavirus,Australia,2,2
1,ANAJ Hantavirus,Brazil,1,1
2,ANMV-1 virus,Pacific Ocean,69,69
3,APSE phage Eptesicus fuscus/P5/IT/USA/2009,USA,1,1
4,Aalivirus,Australia,9,9
5,Aalivirus,China,11,2
6,Aalivirus,Iran,12,1
7,Aalivirus A,China,2,2
8,Aalivirus A,Iran,3,1
9,Aarhusvirus,Denmark,369,369
10,Abaca bunchy top virus,Malaysia,10,10
11,Abaca bunchy top virus,Philippines,18,8
12,Abakapovirus,USA,12,12
13,Abakapovirus asiadaptatum,USA,3,3
14,Abakapovirus humadaptatum,USA,3,3
15,Abakapovirus humenecus,USA,3,3
16,Abakapovirus humicola,USA,3,3
17,Abalone asfa-like virus,Japan,159,159
18,Abalone herpesvirus Taiwan/2004,Taiwan,33,33
19,Abalone herpesvirus Taiwan/2005,Taiwan,66,66
20,Abalone herpesvirus type 2 Taiwan/2007,Taiwan,1,1
21,Abalone shriveling syndrome-associated virus,China,62,62
22,Abatino macacapox virus,Italy,416,416
23,Abbeymikolonvirus,USA,176,176
24,Abdera bunya-like virus,Greece,1,1
25,Abidjanvirus,Brazil,154,154
26,Abidjanvirus,Cote d'Ivoire,384,230
27,Abidjanvirus,India,452,68
28,Abidjanvirus,Mexico,614,162
29,Abisko virus,Finland,1,1
30,Abisko virus,Norway,3,2
31,Abisko virus,Sweden,10,7
32,Abouovirus,USA,376,376
33,Abras orthobunyavirus,Ecuador,6,6
34,Abu Hammad orthonairovirus,Egypt,3,3
35,Abu Mina orthonairovirus,Egypt,3,3
36,Abutilon Brazil virus,Brazil,14,14
37,Abutilon golden mosaic virus,Mexico,10,10
38,Abutilon mosaic Bolivia virus,Bolivia,14,14
39,Abutilon mosaic Brazil virus,Brazil,26,26
40,Abutilon mosaic virus,Australia,2,2
41,Abutilon mosaic virus,Ecuador,3,1
42,Abutilon mosaic virus,France,10,7
43,Abutilon mosaic virus,Germany,17,7
44,Abutilon mosaic virus,India,37,20
45,Abutilon mosaic virus,South Africa,39,2
46,Academ virus,Russia,2,2
47,Acadianvirus,South Africa,384,384
48,Acadianvirus,USA,1256,872
49,Acalypha yellow mosaic Siliguri virus,India,4,4
50,Acalypha yellow mosaic virus,India,3,3
51,Acanthamoeba castellanii mamavirus,France,991,991
52,Acanthamoeba castellanii medusavirus,Japan,429,429
53,Acanthamoeba polyphaga lentillevirus,France,807,807
54,Acanthamoeba polyphaga mimivirus,Brazil,6031,6031
55,Acanthamoeba polyphaga mimivirus,India,6929,898
