Species,Country,Count
ACT flea iflavirus,Australia,2
ANAJ Hantavirus,Brazil,1
ANMV-1 virus,Pacific Ocean,69
APSE phage Eptesicus fuscus/P5/IT/USA/2009,USA,1
Aalivirus A,China,2
Aalivirus A,Iran,1
Abaca bunchy top virus,Malaysia,10
Abaca bunchy top virus,Philippines,8
Abakapovirus asiadaptatum,USA,3
Abakapovirus humadaptatum,USA,3
Abakapovirus humenecus,USA,3
Abakapovirus humicola,USA,3
Abalone asfa-like virus,Japan,159
Abalone herpesvirus Taiwan/2004,Taiwan,33
Abalone herpesvirus Taiwan/2005,Taiwan,66
Abalone herpesvirus type 2 Taiwan/2007,Taiwan,1
Abalone shriveling syndrome-associated virus,China,62
Abatino macacapox virus,Italy,416
Abdera bunya-like virus,Greece,1
Abisko virus,Finland,1
Abisko virus,Norway,2
Abisko virus,Sweden,7
Abras orthobunyavirus,Ecuador,6
Abu Hammad orthonairovirus,Egypt,3
Abu Mina orthonairovirus,Egypt,3
Abutilon Brazil virus,Brazil,14
Abutilon golden mosaic virus,Mexico,10
Abutilon mosaic Bolivia virus,Bolivia,14
Abutilon mosaic Brazil virus,Brazil,26
Abutilon mosaic virus,Australia,2
Abutilon mosaic virus,Ecuador,1
Abutilon mosaic virus,France,7
Abutilon mosaic virus,Germany,7
Abutilon mosaic virus,India,20
Abutilon mosaic virus,South Africa,2
Academ virus,Russia,2
Acalypha yellow mosaic Siliguri virus,India,4
Acalypha yellow mosaic virus,India,3
Acanthamoeba castellanii mamavirus,France,991
Acanthamoeba castellanii medusavirus,Japan,429
Acanthamoeba polyphaga lentillevirus,France,807
Acanthamoeba polyphaga mimivirus,Brazil,6031
Acanthamoeba polyphaga mimivirus,India,898
Acanthamoeba polyphaga mimivirus,United Kingdom,1
Acanthis flammea CRESS-DNA-virus sp.,China,1
Acanthocystis turfacea chlorella virus 1,Germany,1720
Acanthurus bariene nervous necrosis virus,Taiwan,1
Acanthurus dussumieri iridovirus,Taiwan,1
Acara orthobunyavirus,Brazil,3
Acara orthobunyavirus,Trinidad and Tobago,3
Acartia tonsa copepod circovirus,USA,4
Acaryochloris phage A-HIS1,Australia,95
Acaryochloris phage A-HIS2,Australia,104
Accipiter gentilis Genomoviridae sp.,China,2
Accipiter gentilis ambidensovirus,China,4
Accipiter gentilis parvo-like hybrid virus,China,2
