,Species,Region,Count,Geographical_Region
0,ACT flea iflavirus,Oceans and Seas,2,
1,ANAJ Hantavirus,South America,1,
2,ANMV-1 virus,Unknown,69,
3,APSE phage Eptesicus fuscus/P5/IT/USA/2009,North America,1,
4,Aalivirus A,Asia,3,
5,Abaca bunchy top virus,Asia,18,
6,Abakapovirus asiadaptatum,North America,3,
7,Abakapovirus humadaptatum,North America,3,
8,Abakapovirus humenecus,North America,3,
9,Abakapovirus humicola,North America,3,
10,Abalone asfa-like virus,Asia,159,
11,Abalone herpesvirus Taiwan/2004,Asia,33,
12,Abalone herpesvirus Taiwan/2005,Asia,66,
13,Abalone herpesvirus type 2 Taiwan/2007,Asia,1,
14,Abalone shriveling syndrome-associated virus,Asia,62,
15,Abatino macacapox virus,Europa,416,
16,Abdera bunya-like virus,Europa,1,
17,Abisko virus,Europa,10,
18,Abras orthobunyavirus,South America,6,
19,Abu Hammad orthonairovirus,Africa,3,
20,Abu Mina orthonairovirus,Africa,3,
21,Abutilon Brazil virus,South America,14,
22,Abutilon golden mosaic virus,North America,10,
23,Abutilon mosaic Bolivia virus,South America,14,
24,Abutilon mosaic Brazil virus,South America,26,
25,Abutilon mosaic virus,Africa,2,
26,Abutilon mosaic virus,Asia,20,
27,Abutilon mosaic virus,Europa,14,
28,Abutilon mosaic virus,Oceans and Seas,2,
29,Abutilon mosaic virus,South America,1,
30,Academ virus,Europa,2,
31,Acalypha yellow mosaic Siliguri virus,Asia,4,
32,Acalypha yellow mosaic virus,Asia,3,
33,Acanthamoeba castellanii mamavirus,Europa,991,
34,Acanthamoeba castellanii medusavirus,Asia,429,
35,Acanthamoeba polyphaga lentillevirus,Europa,807,
36,Acanthamoeba polyphaga mimivirus,Asia,898,
37,Acanthamoeba polyphaga mimivirus,Europa,1,
38,Acanthamoeba polyphaga mimivirus,South America,6031,
39,Acanthis flammea CRESS-DNA-virus sp.,Asia,1,
40,Acanthocystis turfacea chlorella virus 1,Europa,1720,
41,Acanthurus bariene nervous necrosis virus,Asia,1,
42,Acanthurus dussumieri iridovirus,Asia,1,
43,Acara orthobunyavirus,North America,3,
44,Acara orthobunyavirus,South America,3,
45,Acartia tonsa copepod circovirus,North America,4,
46,Acaryochloris phage A-HIS1,Oceans and Seas,95,
47,Acaryochloris phage A-HIS2,Oceans and Seas,104,
48,Accipiter gentilis Genomoviridae sp.,Asia,2,
49,Accipiter gentilis ambidensovirus,Asia,4,
50,Accipiter gentilis parvo-like hybrid virus,Asia,2,
51,Accipiter gentilis parvoviridae sp.,Asia,1,
52,Acerodon celebensis polyomavirus 1,Asia,8,
53,Acerodon celebensis polyomavirus 2,Asia,8,
54,Acetes erythraeus iridovirus,Africa,1,
55,Achaea janata granulovirus,Asia,6,
56,Acheta domesticus Iflavirus,Europa,2,
57,Acheta domesticus virus,North America,1,
58,Acheta domesticus volvovirus,Asia,13,
59,Acheta domesticus volvovirus,North America,8,
60,Achimota pararubulavirus 1,Africa,16,
61,Achimota pararubulavirus 2,Africa,16,
62,Achimota pararubulavirus 3,Africa,8,
63,Achlievirus humihabitans,North America,3,
64,Achromobacter phage AMA1,Oceans and Seas,62,
65,Achromobacter phage AMA2,Oceans and Seas,68,
66,Achromobacter phage JWDelta,Europa,89,
67,Achromobacter phage JWF,Europa,236,
68,Achromobacter phage Mano,North America,128,
69,Achromobacter phage phiAxp-1,Asia,128,
70,Achromobacter phage vB_AchrS_AchV4,Europa,164,
71,Achromobacter phage vB_Ade_ART,Europa,127,
72,Achromobacter phage vB_AxyP_19-32_Axy09,Africa,49,
73,Achromobacter phage vB_AxyP_19-32_Axy13,Africa,71,
74,Achromobacter phage vB_AxyP_19-32_Axy21,Africa,49,
75,Achromobacter phage vB_AxyP_19-32_Axy22,Africa,78,
76,Achromobacter phage vB_AxyP_19-32_Axy23,Africa,50,
77,Achromobacter phage vB_AxyS_19-32_Axy06,Africa,55,
78,Achromobacter phage vB_AxyS_19-32_Axy14,Africa,60,
79,Achromobacter phage vB_AxyS_19-32_Axy16,Africa,58,
80,Achromobacter phage vB_AxyS_19-32_Axy18,Africa,64,
81,Achromobacter phage vB_AxyS_19-32_Axy19,Africa,65,
82,Achromobacter phage vB_AxyS_19-32_Axy20,Africa,66,
83,Achromobacter virus 83-24,Europa,122,
84,Achromobacter virus Axy04,Africa,160,
