,Taxonomy,Collection_Date,Cumulative_Count,Count
0,All Species,1865.0,1,1
1,Avipoxvirus ID2757,1865.0,1,1
2,Avipoxvirus,1865.0,1,1
3,Poxviridae,1865.0,1,1
4,Orthopoxvirus,1866.0,209,209
5,Vaccinia virus,1866.0,209,209
6,All Species,1866.0,210,209
7,Poxviridae,1866.0,210,209
8,All Species,1870.0,211,1
9,Gammaretrovirus,1870.0,1,1
10,Koala retrovirus,1870.0,1,1
11,Retroviridae,1870.0,1,1
12,All Species,1882.0,214,3
13,Rabies lyssavirus,1882.0,3,3
14,Lyssavirus,1882.0,3,3
15,Rhabdoviridae,1882.0,3,3
16,All Species,1891.0,218,4
17,Retroviridae,1891.0,5,4
18,Koala retrovirus,1891.0,5,4
19,Gammaretrovirus,1891.0,5,4
20,Avipoxvirus ID9081,1893.0,1,1
21,Avipoxvirus ID2701,1893.0,1,1
22,Avipoxvirus,1893.0,3,2
23,All Species,1893.0,220,2
24,Poxviridae,1893.0,212,2
25,European bat 2 lyssavirus,1898.0,5,5
26,Lyssavirus,1898.0,8,5
27,Rhabdoviridae,1898.0,8,5
28,All Species,1898.0,225,5
29,All Species,1899.0,226,1
30,Lentivirus,1899.0,1,1
31,Human immunodeficiency virus 1,1899.0,1,1
32,Retroviridae,1899.0,6,1
33,Orthohepadnavirus,1900.0,1,1
34,Poxviridae,1900.0,213,1
35,Hepatitis B virus,1900.0,1,1
36,Lentivirus,1900.0,70,69
37,Human immunodeficiency virus 2,1900.0,1,1
38,Avipoxvirus isolate Hawaii,1900.0,1,1
39,Parvoviridae,1900.0,7,7
40,Dependoparvovirus,1900.0,7,7
41,Retroviridae,1900.0,75,69
42,Hepadnaviridae,1900.0,1,1
43,All Species,1900.0,304,78
44,Adeno-associated virus,1900.0,7,7
45,Human immunodeficiency virus 1,1900.0,69,68
46,Avipoxvirus,1900.0,4,1
47,Retroviridae,1901.0,76,1
48,Lentivirus,1901.0,71,1
49,All Species,1901.0,305,1
50,Human immunodeficiency virus 2,1901.0,2,1
51,Orthomyxoviridae,1902.0,17,17
52,Alphainfluenzavirus,1902.0,17,17
53,All Species,1902.0,568,263
54,Poxviridae,1902.0,459,246
55,Influenza A virus,1902.0,17,17
56,Orthopoxvirus,1902.0,455,246
57,Vaccinia virus,1902.0,455,246
58,Koala retrovirus,1904.0,12,7
59,Gammaretrovirus,1904.0,12,7
60,Lentivirus,1904.0,72,1
61,Human immunodeficiency virus 2,1904.0,3,1
62,Retroviridae,1904.0,84,8
63,All Species,1904.0,576,8
64,All Species,1905.0,626,50
65,Morbillivirus,1905.0,1,1
66,Peribunyaviridae,1905.0,10,10
67,Alphavirus,1905.0,2,2
68,Enterovirus,1905.0,1,1
69,Hepacivirus C,1905.0,4,4
70,Human immunodeficiency virus 1,1905.0,72,3
71,Hapavirus,1905.0,23,23
72,Measles morbillivirus,1905.0,1,1
73,Foot-and-mouth disease virus,1905.0,1,1
74,Hepacivirus,1905.0,4,4
75,Retroviridae,1905.0,87,3
76,Togaviridae,1905.0,2,2
77,Enterovirus A,1905.0,1,1
78,Hart Park hapavirus,1905.0,7,7
79,Rhabdoviridae,1905.0,31,23
80,Flanders hapavirus,1905.0,16,16
81,Picornaviridae,1905.0,2,2
82,Bushbush orthobunyavirus,1905.0,3,3
83,Norovirus,1905.0,5,5
84,Flaviviridae,1905.0,4,4
85,Caliciviridae,1905.0,5,5
86,Norwalk virus,1905.0,5,5
87,Anopheles A orthobunyavirus,1905.0,3,3
88,Lentivirus,1905.0,75,3
89,Aphthovirus,1905.0,1,1
90,Paramyxoviridae,1905.0,1,1
91,Barranqueras virus,1905.0,4,4
92,Venezuelan equine encephalitis virus,1905.0,2,2
93,Orthobunyavirus,1905.0,6,6
94,Enterovirus C,1909.0,2,2
95,Enterovirus,1909.0,3,2
96,Picornaviridae,1909.0,4,2
97,All Species,1909.0,628,2
98,Paramyxoviridae,1910.0,57,56
99,Morbillivirus,1910.0,57,56
100,Rinderpest morbillivirus,1910.0,56,56
101,All Species,1910.0,684,56
102,Avipoxvirus ID9801,1911.0,1,1
103,Poxviridae,1911.0,460,1
104,All Species,1911.0,689,5
105,Koala retrovirus,1911.0,16,4
106,Gammaretrovirus,1911.0,16,4
107,Avipoxvirus,1911.0,5,1
108,Retroviridae,1911.0,91,4
109,Cotton leaf curl Multan virus,1918.0,5,5
110,Begomovirus,1918.0,5,5
111,Alphainfluenzavirus,1918.0,29,12
112,Geminiviridae,1918.0,5,5
113,All Species,1918.0,706,17
114,Influenza A virus,1918.0,29,12
115,Orthomyxoviridae,1918.0,29,12
116,All Species,1919.0,707,1
117,Paramyxoviridae,1919.0,58,1
