Species,Collection_Date,Count
Avipoxvirus ID2757,1865.0,1
Vaccinia virus,1866.0,1
Koala retrovirus,1870.0,1
Rabies lyssavirus,1882.0,3
Koala retrovirus,1891.0,2
Avipoxvirus ID9081,1893.0,1
Avipoxvirus ID2701,1893.0,1
European bat 2 lyssavirus,1898.0,1
Human immunodeficiency virus 1,1899.0,1
Avipoxvirus isolate Hawaii,1900.0,1
Human immunodeficiency virus 2,1900.0,1
Adeno-associated virus,1900.0,1
Hepatitis B virus,1900.0,1
Human immunodeficiency virus 1,1900.0,39
Human immunodeficiency virus 2,1901.0,1
Influenza A virus,1902.0,13
Vaccinia virus,1902.0,1
Human immunodeficiency virus 2,1904.0,1
Koala retrovirus,1904.0,3
Venezuelan equine encephalitis virus,1905.0,1
Anopheles A orthobunyavirus,1905.0,3
Norwalk virus,1905.0,3
Measles morbillivirus,1905.0,2
Flanders hapavirus,1905.0,2
Hepacivirus C,1905.0,2
Foot-and-mouth disease virus,1905.0,1
Bushbush orthobunyavirus,1905.0,3
Barranqueras virus,1905.0,3
Enterovirus A,1905.0,1
Hart Park hapavirus,1905.0,1
Human immunodeficiency virus 1,1905.0,2
Enterovirus C,1909.0,2
Rinderpest morbillivirus,1910.0,8
Koala retrovirus,1911.0,2
Avipoxvirus ID9801,1911.0,1
Cotton leaf curl Multan virus,1918.0,1
Influenza A virus,1918.0,12
Measles morbillivirus,1919.0,1
Foot-and-mouth disease virus,1920.0,2
Measles morbillivirus,1920.0,1
Faba bean necrotic stunt virus,1920.0,1
Songling virus,1921.0,1
Porcine reproductive and respiratory syndrome virus,1921.0,1
Songling virus,1922.0,1
Orthohepevirus A,1922.0,1
Songling virus,1923.0,1
Tomato yellow leaf curl virus,1924.0,1
Human metapneumovirus,1924.0,1
Songling virus,1924.0,1
Influenza A virus,1925.0,8
Songling virus,1925.0,1
Songling virus,1926.0,1
Foot-and-mouth disease virus,1926.0,1
Songling virus,1927.0,1
Yellow fever virus,1927.0,2
Influenza A virus,1927.0,15
African cassava mosaic virus,1928.0,2
Orthohepevirus A,1928.0,1
Mungbean yellow mosaic virus,1928.0,1
Songling virus,1928.0,1
Foot-and-mouth disease virus,1929.0,2
Songling virus,1929.0,1
Avian orthoavulavirus 1,1930.0,1
Human immunodeficiency virus 1,1930.0,5
Ectromelia virus,1930.0,1
Avipoxvirus ID8926,1930.0,1
Western equine encephalitis virus,1930.0,2
Songling virus,1930.0,2
Orthohepevirus A,1931.0,1
Human immunodeficiency virus 1,1931.0,65
Influenza A virus,1931.0,24
Rabies lyssavirus,1931.0,9
West Nile virus,1931.0,2
Louping ill virus,1931.0,1
Hepatitis B virus,1931.0,4
Saccharomyces paradoxus L-A virus M28-like satellite,1931.0,1
Saccharomyces paradoxus virus L-A-1939,1931.0,1
Citrus leprosis virus C,1932.0,10
Foot-and-mouth disease virus,1932.0,1
Western equine encephalitis virus,1933.0,1
Saint Louis encephalitis virus,1933.0,1
Eastern equine encephalitis virus,1933.0,4
African horse sickness virus,1933.0,10
Influenza A virus,1933.0,53
Madariaga virus,1933.0,1
Vesicular exanthema of swine virus,1934.0,1
Eastern equine encephalitis virus,1934.0,1
Foot-and-mouth disease virus,1934.0,2
Influenza A virus,1934.0,337
Japanese encephalitis virus,1935.0,4
Rabies lyssavirus,1935.0,2
Influenza A virus,1935.0,56
Eastern equine encephalitis virus,1935.0,1
Lymphocytic choriomeningitis mammarenavirus,1935.0,3
Influenza A virus,1936.0,8
Avipoxvirus ID8964,1936.0,1
Madariaga virus,1936.0,1
Eastern equine encephalitis virus,1936.0,1
African horse sickness virus,1936.0,10
Bwamba orthobunyavirus,1937.0,7
Human alphaherpesvirus 1,1937.0,20
Tick-borne encephalitis virus,1937.0,5
Citrus leprosis virus C,1937.0,6
Bluetongue virus,1937.0,20
Human alphaherpesvirus 1,1938.0,51
Koala retrovirus,1938.0,1
Eastern equine encephalitis virus,1938.0,1
Venezuelan equine encephalitis virus,1938.0,1
Western equine encephalitis virus,1938.0,1
African horse sickness virus,1938.0,10
Potato virus Y,1938.0,1
Japanese encephalitis virus,1939.0,2
Citrus leprosis virus C,1939.0,5
Rabies lyssavirus,1939.0,3
Anopheles A orthobunyavirus,1940.0,3
Wyeomyia orthobunyavirus,1940.0,9
Grapevine red blotch virus,1940.0,1
Potato virus X,1940.0,1
Influenza B virus,1940.0,8
Influenza A virus,1940.0,16
Anopheles B orthobunyavirus,1940.0,3
Barley yellow dwarf virus PAV,1940.0,1
African horse sickness virus,1940.0,10
Western equine encephalitis virus,1941.0,4
Equid alphaherpesvirus 1,1941.0,1
Tick-borne encephalitis virus,1941.0,3
Avian coronavirus,1941.0,2
Citrus leprosis virus C,1941.0,2
Bluetongue virus,1941.0,32
Yellow fever virus,1941.0,1
Venezuelan equine encephalitis virus,1942.0,1
Semliki Forest virus,1942.0,1
Cardiovirus A,1942.0,1
Influenza A virus,1942.0,26
Bluetongue virus,1942.0,30
Enterovirus C,1942.0,1
Tick-borne encephalitis virus,1942.0,3
Tick-borne encephalitis virus,1943.0,5
Cauliflower mosaic virus,1943.0,1
Foot-and-mouth disease virus,1943.0,1
